# sacct -o JobName%30,NCPUS,Elapsed,ElapsedRaw,AveDiskRead,MaxDiskRead,AveDiskWrite,MaxDiskWrite,AveRSS,MaxRSS -j 23150227
opt, JobName, NCPUS, Elapsed, ElapsedRaw, AveDiskRead, MaxDiskRead, AveDiskWrite, MaxDiskWrite, AveRSS, MaxRSS
1, oscillator, 8192, 00:07:06, 426, 1.05M, 2.93M, 809.87M, 1942.17M, 128856396, 141258K
1, ADIOS1EndPoint, 8192, 00:05:52, 352, 807.57M, 1944.41M, 8.97M, 59.77M, 75395645, 157100K
1, oscillator, 8192, 00:07:21, 441, 0.61M, 2.37M, 581.97M, 1942.17M, 255816096, 458451K
1, ADIOS1EndPoint, 4096, 00:06:10, 370, 1187.24M, 1944.13M, 17.93M, 59.77M, 67907245, 120462K
1, oscillator, 8192, 00:07:23, 443, 0.66M, 2.44M, 474.21M, 1942.17M, 304207746, 457292K
1, ADIOS1EndPoint, 2048, 00:06:11, 371, 1954.16M, 2448.52M, 35.87M, 70.09M, 125610490, 168784K
1, oscillator, 8192, 00:07:18, 438, 0.62M, 2.51M, 421.55M, 1942.17M, 332094000, 456794K
1, ADIOS1EndPoint, 1024, 00:06:01, 361, 3465.36M, 3961.53M, 71.76M, 122.34M, 191425532, 240813K
1, oscillator, 8192, 00:06:28, 388, 0.67M, 2.51M, 397.00M, 1942.17M, 346775068, 456689K
1, ADIOS1EndPoint, 512, 00:05:32, 332, 6501.39M, 6988.41M, 143.39M, 218.54M, 274844754, 302736K
1, oscillator, 8192, 00:07:20, 440, 0.62M, 2.44M, 393.13M, 1942.17M, 382801328, 499281K
1, ADIOS1EndPoint, 256, 00:06:04, 364, 12630.08M, 13042.53M, 288.15M, 360.65M, 483415404, 518772K
1, oscillator, 8192, 00:07:37, 457, 0.63M, 2.51M, 387.99M, 1942.16M, 388989131, 499081K
1, ADIOS1EndPoint, 128, 00:06:22, 382, 24831.43M, 25487.58M, 573.59M, 680.84M, 896038712, 905804K
0, oscillator, 8192, 00:07:58, 478, 0.66M, 2.65M, 2061.08M, 2110.35M, 130202316, 167466K
0, ADIOS1EndPoint, 8192, 00:06:49, 409, 2110.96M, 2112.16M, 9.03M, 89.54M, 141887155, 167790K
0, oscillator, 8192, 00:08:00, 480, 0.63M, 2.42M, 1854.97M, 2110.35M, 126386183, 134281K
0, ADIOS1EndPoint, 4096, 00:06:40, 400, 3792.66M, 3793.92M, 18.03M, 130.82M, 178695509, 213490K
0, oscillator, 8192, 00:07:34, 454, 0.65M, 2.35M, 1749.70M, 2110.59M, 140249404, 157230K
0, ADIOS1EndPoint, 2048, 00:06:22, 382, 7129.99M, 7157.46M, 35.97M, 212.52M, 275568039, 296278K
0, oscillator, 8192, 00:07:45, 465, 0.61M, 2.24M, 1735.34M, 2110.59M, 154454428, 162686K
0, ADIOS1EndPoint, 1024, 00:06:34, 394, 13839.67M, 13884.44M, 72.05M, 409.48M, 451715903, 473525K
0, oscillator, 8192, 00:08:24, 504, 0.66M, 2.43M, 1708.55M, 2110.59M, 177204223, 196988K
0, ADIOS1EndPoint, 512, 00:07:16, 436, 27337.11M, 27338.24M, 144.05M, 563.99M, 812773500, 842612K
0, oscillator, 8192, 00:13:36, 816, 0.63M, 2.65M, 1695.16M, 2110.59M, 331431402, 333714K
0, ADIOS1EndPoint, 256, 00:12:30, 750, 54245.19M, 54246.23M, 287.48M, 756.11M, 1528897456, 1567031K
0, oscillator, 8192, 00:23:45, 1425, 0.67M, 2.64M, 1688.46M, 2110.59M, 418562449, 419951K
0, ADIOS1EndPoint, 128, 00:22:38, 1358, 108061.65M, 108062.68M, 577.69M, 1242.66M, 2959223344, 2970611K
