# sacct -o JobName%30,NCPUS,Elapsed,ElapsedRaw,AveDiskRead,MaxDiskRead,AveDiskWrite,MaxDiskWrite,AveRSS,MaxRSS -j 23240948
# in_transit_slice_has      32896   02:02:53       7373
opt, JobName, NCPUS, Elapsed, ElapsedRaw, AveDiskRead, MaxDiskRead, AveDiskWrite, MaxDiskWrite, AveRSS, MaxRSS
1, oscillator, 8192, 00:07:27, 447, 1.17M, 3.09M, 584.30M, 2110.34M, 128894184, 141239K
1, ADIOS1EndPoint, 8192, 00:06:14, 374, 599.88M, 2112.68M, 3.46M, 80.64M, 69633826, 127748K
1, oscillator, 8192, 00:06:53, 413, 0.62M, 2.44M, 374.66M, 2110.34M, 280751064, 458691K
1, ADIOS1EndPoint, 4096, 00:05:43, 343, 767.20M, 2112.16M, 6.92M, 80.64M, 74326927, 129430K
1, oscillator, 8192, 00:06:54, 414, 0.66M, 2.44M, 267.64M, 2110.34M, 352833790, 457518K
1, ADIOS1EndPoint, 2048, 00:05:52, 352, 1110.69M, 2112.17M, 13.89M, 80.64M, 86548856, 126634K
1, oscillator, 8192, 00:06:39, 399, 0.63M, 2.71M, 223.92M, 2110.34M, 425486302, 500272K
1, ADIOS1EndPoint, 1024, 00:05:35, 335, 1785.10M, 2111.13M, 27.70M, 80.64M, 81262983, 125321K
1, oscillator, 8192, 00:06:47, 407, 0.62M, 2.65M, 188.78M, 2110.34M, 406980087, 456615K
1, ADIOS1EndPoint, 512, 00:05:26, 326, 3143.81M, 3792.89M, 55.35M, 110.81M, 146562440, 169245K
1, oscillator, 8192, 00:06:42, 402, 0.67M, 2.44M, 175.43M, 2110.34M, 453394329, 491877K
1, ADIOS1EndPoint, 256, 00:05:34, 334, 5853.85M, 7156.28M, 110.63M, 173.54M, 202137224, 251918K
1, oscillator, 8192, 00:06:28, 388, 0.63M, 2.65M, 168.86M, 2110.34M, 423557441, 456036K
1, ADIOS1EndPoint, 128, 00:05:20, 320, 11290.18M, 12201.43M, 221.45M, 314.31M, 373896552, 401351K
0, oscillator, 8192, 00:07:43, 463, 0.63M, 2.87M, 2064.12M, 2110.35M, 129428571, 141237K
0, ADIOS1EndPoint, 8192, 00:06:11, 371, 2103.83M, 2112.16M, 3.49M, 80.64M, 113803641, 126695K
0, oscillator, 8192, 00:07:01, 421, 0.66M, 2.28M, 1852.24M, 2110.35M, 126475294, 152942K
0, ADIOS1EndPoint, 4096, 00:05:56, 356, 3780.02M, 3793.92M, 6.98M, 110.78M, 87325698, 167793K
0, oscillator, 8192, 00:07:50, 470, 0.62M, 2.14M, 1749.76M, 2110.34M, 142406548, 160666K
0, ADIOS1EndPoint, 2048, 00:05:55, 355, 7128.57M, 7157.46M, 13.97M, 111.30M, 244172874, 258282K
0, oscillator, 8192, 00:07:04, 424, 0.66M, 2.24M, 1735.34M, 2110.59M, 138345428, 162020K
0, ADIOS1EndPoint, 1024, 00:05:58, 358, 13839.55M, 13884.20M, 27.92M, 111.43M, 402873264, 649051K
0, oscillator, 8192, 00:07:12, 432, 0.61M, 2.50M, 1708.16M, 2110.59M, 158396955, 162233K
0, ADIOS1EndPoint, 512, 00:05:53, 353, 27296.47M, 27338.01M, 55.86M, 118.14M, 770781024, 765527K
0, oscillator, 8192, 00:10:51, 651, 0.66M, 2.50M, 1695.16M, 2110.59M, 245402378, 248227K
0, ADIOS1EndPoint, 256, 00:09:45, 585, 54169.14M, 54246.23M, 111.67M, 118.63M, 1473689108, 1445201K
0, oscillator, 8192, 00:13:54, 834, 0.62M, 2.79M, 1688.46M, 2110.59M, 332055176, 366783K
0, ADIOS1EndPoint, 128, 00:12:40, 760, 108061.64M, 108062.68M, 224.12M, 230.75M, 2860942808, 2806773K
