# sacct -o JobName%30,NCPUS,Elapsed,ElapsedRaw,AveDiskRead,MaxDiskRead,AveDiskWrite,MaxDiskWrite,AveRSS,MaxRSS -j 23161402
# in_transit_iso_knl     131648   05:00:21      18021
opt, JobName, NCPUS, Elapsed, ElapsedRaw, AveDiskRead, MaxDiskRead, AveDiskWrite, MaxDiskWrite, AveRSS, MaxRSS
1, oscillator, 16384, 00:21:51, 1311, 1.01M, 3.31M, 403.63M, 1044.56M, 120017990, 138011K
1, ADIOS1EndPoint, 16384, 00:19:02, 1142, 404.50M, 1047.42M, 4.53M, 41.59M, 62649199, 123913K
1, oscillator, 16384, 00:21:07, 1267, 0.60M, 2.57M, 284.40M, 1044.56M, 182599180, 296983K
1, ADIOS1EndPoint, 8192, 00:18:45, 1125, 569.12M, 1046.91M, 9.06M, 41.59M, 66163311, 119354K
1, oscillator, 16384, 00:20:54, 1254, 0.60M, 2.57M, 223.50M, 1044.56M, 194346788, 271724K
1, ADIOS1EndPoint, 4096, 00:18:29, 1109, 896.60M, 1046.35M, 18.11M, 41.59M, 61919005, 113446K
1, oscillator, 16384, 00:40:13, 2413, 0.63M, 2.58M, 194.41M, 1044.56M, 220522682, 293532K
1, ADIOS1EndPoint, 2048, 00:36:24, 2184, 1553.31M, 1851.03M, 36.24M, 73.82M, 73908579, 137014K
1, oscillator, 16384, 00:20:58, 1258, 0.62M, 2.57M, 178.86M, 1044.56M, 227615966, 292894K
1, ADIOS1EndPoint, 1024, 00:18:41, 1121, 2872.10M, 3460.39M, 72.52M, 115.98M, 163535058, 185463K
1, oscillator, 16384, 00:21:26, 1286, 0.60M, 2.57M, 171.99M, 1044.56M, 231628468, 292128K
1, ADIOS1EndPoint, 512, 00:18:57, 1137, 5504.06M, 5874.65M, 144.96M, 219.16M, 240119554, 258931K
1, oscillator, 16384, 00:22:13, 1333, 0.82M, 2.65M, 168.24M, 1044.56M, 235683705, 291759K
1, ADIOS1EndPoint, 256, 00:19:54, 1194, 10767.96M, 10971.40M, 290.42M, 368.68M, 411616336, 439753K
1, oscillator, 16384, 00:29:03, 1743, 0.62M, 2.55M, 166.37M, 1044.55M, 246425732, 290678K
1, ADIOS1EndPoint, 128, 00:26:40, 1600, 21295.76M, 21611.91M, 580.84M, 712.36M, 758636008, 777419K
0, oscillator, 16384, 00:21:42, 1302, 0.59M, 2.80M, 1133.97M, 1134.46M, 120667997, 137049K
0, ADIOS1EndPoint, 16384, 00:19:04, 1144, 1132.86M, 1136.20M, 4.56M, 57.61M, 63370676, 128291K
0, oscillator, 16384, 00:21:24, 1284, 0.62M, 2.50M, 1012.46M, 1134.46M, 110048372, 123419K
0, ADIOS1EndPoint, 8192, 00:19:17, 1157, 2028.68M, 2029.86M, 9.14M, 89.89M, 137616746, 149109K
0, oscillator, 16384, 00:21:38, 1298, 0.57M, 2.00M, 953.18M, 1134.46M, 105187430, 115968K
0, ADIOS1EndPoint, 4096, 00:19:11, 1151, 3816.91M, 3818.19M, 18.27M, 158.79M, 178140333, 190009K
0, oscillator, 16384, 00:29:40, 1780, 0.61M, 1.85M, 646.90M, 794.27M, 100774480, 112675K
0, ADIOS1EndPoint, 2048, 00:25:37, 1537, 5175.60M, 5176.70M, 23.97M, 162.10M, 266730967, 287325K
